# name	type	id	primary-group	home	shell	supplementary-groups
root	user	0	root	/root	/bin/bash	wheel
root	group	0	-	-	-	-
wheel	group	1	-	-	-	root
spokes	group	2	-	-	-	-
bin	user	3	bin	/bin	/sbin/nologin	-
bin	group	3	-	-	-	-
daemon	user	4	daemon	/	/sbin/nologin	-
daemon	group	4	-	-	-	-
tty	group	5	-	-	-	-
disk	group	6	-	-	-	-
adm	group	7	-	-	-	-
lp	group	8	-	-	-	-
kmem	group	9	-	-	-	-
mem	group	10	-	-	-	-
mail	group	11	-	-	-	-
news	group	12	-	-	-	-
news	user	12	news	/var/spool/news	/sbin/nologin	-
man	group	13	-	-	-	-
uucp	group	14	-	-	-	-
audio	group	15	-	-	-	-
video	group	16	-	-	-	-
input	group	17	-	-	-	-
users	group	100	-	-	-	-
sshd	user	101	sshd	/var/empty	/sbin/nologin	-
sshd	group	101	-	-	-	-
nginx	user	102	nginx	/var/lib/nginx	/sbin/nologin	-
nginx	group	102	-	-	-	-
php-fpm	user	103	php-fpm	/var/lib/php-fpm	/sbin/nologin	-
php-fpm	group	103	-	-	-	-
dhcpcd	user	104	dhcpcd	/var/empty	/sbin/nologin	-
dhcpcd	group	104	-	-	-	-
haproxy	user	105	haproxy	/var/lib/haproxy	/sbin/nologin	-
haproxy	group	105	-	-	-	-
mysql	user	106	mysql	/var/lib/mysql	/sbin/nologin	-
mysql	group	106	-	-	-	-
named	user	53	named	/var/lib/bind	/sbin/nologin	-
named	group	53	-	-	-	-
unbound	user	108	unbound	/var/lib/unbound	/sbin/nologin	-
unbound	group	108	-	-	-	-
dnsmasq	user	109	dnsmasq	/var/lib/dnsmasq	/sbin/nologin	-
dnsmasq	group	109	-	-	-	-
kea	user	110	kea	/var/lib/kea	/sbin/nologin	-
kea	group	110	-	-	-	-
chrony	user	111	chrony	/var/lib/chrony	/sbin/nologin	-
chrony	group	111	-	-	-	-
postfix	user	112	postfix	/var/spool/postfix	/sbin/nologin	-
postfix	group	112	-	-	-	-
postdrop	group	113	-	-	-	-
dovecot	user	114	dovecot	/var/lib/dovecot	/sbin/nologin	-
dovecot	group	114	-	-	-	-
dovenull	user	115	dovenull	/var/empty	/sbin/nologin	-
dovenull	group	115	-	-	-	-
valkey	user	116	valkey	/var/lib/valkey	/sbin/nologin	-
valkey	group	116	-	-	-	-
rspamd	user	117	rspamd	/var/lib/rspamd	/sbin/nologin	-
rspamd	group	117	-	-	-	-
syslog	user	118	syslog	/var/empty	/sbin/nologin	adm
syslog	group	118	-	-	-	-
openvswitch	user	119	openvswitch	/var/lib/openvswitch	/sbin/nologin	-
openvswitch	group	119	-	-	-	-
clamav	user	120	clamav	/var/lib/clamav	/sbin/nologin	-
clamav	group	120	-	-	-	-
radius	user	121	radius	/var/lib/radius	/sbin/nologin	-
radius	group	121	-	-	-	-
postgres	user	122	postgres	/var/lib/postgresql	/sbin/nologin	-
postgres	group	122	-	-	-	-
gopher	user	123	gopher	/srv/gopher	/sbin/nologin	-
gopher	group	123	-	-	-	-
ftp	user	18	ftp	/srv/ftp	/sbin/nologin	-
ftp	group	18	-	-	-	-
proxyto	user	19	proxyto	/var/empty	/sbin/nologin	-
proxyto	group	19	-	-	-	-
nobody	user	65534	nobody	/var/empty	/sbin/nologin	-
nobody	group	65534	-	-	-	-
